Stars,Title_of_Review,Base_Review,,,
5.0 out of 5 stars,Great way to watch Sports,CBS Sports Stream & Watch Live worked seemlessly with little to no buffer time.,,,
5.0 out of 5 stars,Five Stars,great app!,,,
1.0 out of 5 stars,Useless,Does not let you log in with Comcast/Xfinity or Dish Network.,,,
1.0 out of 5 stars,Poor streaming quality,Wouldn't stream a program for a longer than 15 seconds without freezing,,,
1.0 out of 5 stars,Waste of time,Waste of time,,,
2.0 out of 5 stars,It kept dropping and coming back,It kept dropping and coming back on - I have never had that problem before.,,,
5.0 out of 5 stars,Great,Great,,,
2.0 out of 5 stars,Disappointed,Cant use without cable subscription :(  I wouldn't get this if I had cable !,,,
5.0 out of 5 stars,Great streaming,"It was good for what I needed it for, no lagging",,,
3.0 out of 5 stars,Three Stars,okay,,,
3.0 out of 5 stars,Thanks,Works,,,
5.0 out of 5 stars,The only TV viewing c deal I'm happy with this year,This subscription works as advertised.  Frustrated but unfriend sports avvess,,,
5.0 out of 5 stars,easy,entertaining,,,
1.0 out of 5 stars,Apps through FireTV are poor quality. Use Apps from your tv if available,"Tried to watch the superbowl with this, but kept getting very grainy or would freeze.Had to pay for cbs all access and connect directly through my tv.",,,
5.0 out of 5 stars,Happy,Easy to use,,,
1.0 out of 5 stars,dang,It was an unfortunate error Please disregard,,,
5.0 out of 5 stars,CBS,My internet is satellite slow but it should very good without buffering,,,
2.0 out of 5 stars,Buffered all through the Superbowl,It was really annoying ad we had two TV's playing the game and one was on cable the other on this APP.It got way behind.,,,
1.0 out of 5 stars,To much bufering,To much bufering had to deleat,,,
1.0 out of 5 stars,No,No,,,
5.0 out of 5 stars,Useful,Was able to watch the SuperBowl 2019!!,,,
5.0 out of 5 stars,Great,Great for Super Bowl,,,
4.0 out of 5 stars,Sport,A little paused from time to time.,,,
1.0 out of 5 stars,Not free.  Ad states this is a free 7 day trial.,Not free.  Ad states this is a free 7 day trial.,,,
5.0 out of 5 stars,Nice app,"Perfect for football season, easy to navigate",,,
1.0 out of 5 stars,Don’t download it,Hot garbage. Didn’t even want to load. Couldn’t log in with my cable provider. CBS you suck.,,,
1.0 out of 5 stars,This service is not as user friendly as described !!!!,Problem accessing service !!!! when I paid extra is came up as a part of my regular subscription. Have had problems with Digital one as well as Firestick TV since I purchased. It is EXTREMELY difficult to find and operate programs... I am not pleased at ALL !!!!,,,
5.0 out of 5 stars,Not what u want to pay for...,Poor value,,,
5.0 out of 5 stars,Five Stars,great app,,,
5.0 out of 5 stars,Awesome sports channel.,I liked being able to watch games that were not on regular television.,,,
5.0 out of 5 stars,Good,Good,,,
1.0 out of 5 stars,Nope,Have to buy their all access to watch live sports.  Not interested.,,,
1.0 out of 5 stars,CBS.com sucks,Wouldn’t let me watch the football game on thanksgiving. CBS.com sucks!,,,
1.0 out of 5 stars,never waste your money on a useless fire stick,"It did not work, I get nothing unless I have cable and I thought that was the entire point of fire stick, If I would have known that fire stick is useless I would never have spent 80.00 for nothingnot easy to use, not easy to set up nothing works.",,,
1.0 out of 5 stars,Was not impressed,Constant buffering,,,
4.0 out of 5 stars,R,I just got to,,,
3.0 out of 5 stars,Meh,We used this app to watch the Super Bowl and very often the stream was laggy. Not the best...,,,
3.0 out of 5 stars,Informative,This app offers just about every stat about your teams that you'd want. It's fantastic. The down side is this app is VERY intrusive. It will actually email people without your knowledge. ALWAYS read the permissions section when downloading any app. It reads your personal data and sends it to other entities. BEWARE!,,,
5.0 out of 5 stars,Easy setup,Able to watch all my sports on the app,,,
1.0 out of 5 stars,POS App...,This app sucks on Fire TV.  Constantly have to get out and back into the app to watch TV!  I keep getting erros and it stops streaming.  So frustrating!,,,
4.0 out of 5 stars,Mostly great,"The game mostly worked well, except when it didn't.  A few times it would just drop the live stream and wouldn't continue until the app was terminated and restarted.",,,
5.0 out of 5 stars,THUMBS UP,Thumbs up!,,,
5.0 out of 5 stars,Very good image,Loved it,,,
1.0 out of 5 stars,Pass,Nope,,,
5.0 out of 5 stars,Awesome,Great,,,
1.0 out of 5 stars,It's a trap,Waste of time. Another app you have to pay premium for.,,,
3.0 out of 5 stars,Na,Na,,,
3.0 out of 5 stars,"How hard is it to stream content, everyone does it.",Didn't accomplish what I hoped for. I could stream the Master's live on my computer but not on my TV.,,,
4.0 out of 5 stars,Free,It’s a free app,,,
1.0 out of 5 stars,Why cant a free version exist,Paywall,,,
5.0 out of 5 stars,Sports Fanatic,I love watching sports period on any channel. CBS is one of the best!,,,
5.0 out of 5 stars,2019 super bowl!,Who else is watching the super bowl on here??,,,
2.0 out of 5 stars,“Meh.....”,Kept freezing and skipping entire plays during the SuperBowl.  Commercials miraculously had no issues streaming and rarely even pixelized.,,,
1.0 out of 5 stars,No live stream,No live stream,,,
5.0 out of 5 stars,It works,I had back surgery and could not leave the house. Thank you for the chance to see the Super Bowl  for free,,,
5.0 out of 5 stars,Works,Ok,,,
3.0 out of 5 stars,Three Stars,Used a few times. It is what it is.,,,
5.0 out of 5 stars,"It is great, but I wish it covered more channels. Just check the channel  list",I like it  I works well and by far has the easiest interface to use.,,,
5.0 out of 5 stars,Wonderful!,Amazing,,,
1.0 out of 5 stars,Order was not placed,I DID NOT order this!! I hate sports.,,,
1.0 out of 5 stars,No bueno,It sucked.  Don’t bother.  Better options out there,,,
1.0 out of 5 stars,never,worked ?,,,
2.0 out of 5 stars,CBS App - Still a Work in Progress,"I have downstream speeds of over 400mbps and the CBS app was still buffering, pixelated, choppy and a few times just did a soft crash.",,,
1.0 out of 5 stars,Good if you like buffering,Didn't work well. Only about as well as the CBS website.,,,
4.0 out of 5 stars,Sports,Works great.,,,
5.0 out of 5 stars,Would recommend,Works very well. I watched the Superbowl live on it and it was awesome.,,,
1.0 out of 5 stars,CBS sports SUCKS,"It SUCKS!!!!! While watching a football game during halftime, it changed channels from the game to the sports  news with out my input.  This happened on several occasions. It was always pausing as if it was rewinding then restarting.",,,
5.0 out of 5 stars,Super Bowl looked great on this app!,Used the app to watch the Super Bowl,,,
5.0 out of 5 stars,Good picture.,Watched the 2019 super bowl. Picture was clear with no interruptions.,,,
1.0 out of 5 stars,Can’t watch out if market games,I thought I would be able to watch games broadcast on cbs. I could only watch what was being shown in my market. Which I would get on regular broadcast tv anyway,,,
5.0 out of 5 stars,I was able to watch the super bowl on this site.,I like it.,,,
5.0 out of 5 stars,Easy to download.,It is a great app.,,,
1.0 out of 5 stars,Deleted app,Deleted app,,,
1.0 out of 5 stars,Did not work,Never ran,,,
4.0 out of 5 stars,Not good picture quality,"I disliked the quality of the picture , it was not good, going in and out and was fuzzy.",,,
3.0 out of 5 stars,Avoid,Not free.  Don't waste your time.,,,
2.0 out of 5 stars,free over the air,but here its costing? stupid.,,,
5.0 out of 5 stars,Great for sports,Great for sports,,,
1.0 out of 5 stars,#WalkAway,Poor coverage,,,
1.0 out of 5 stars,Poor quality,I purchased this for super bowl week and was disappointed with the picture reception ! Too many pixil issues ! Looked like sd reception,,,
5.0 out of 5 stars,Will buy again,Love this,,,
4.0 out of 5 stars,I like cbs sports,Bad stream,,,
4.0 out of 5 stars,Clear picture,I was able to view a game and the picture was so clear.,,,
1.0 out of 5 stars,Not what i was hoping for for my money can someone explain how i cancel this subscriptions.riptio,Not enough bang for my,,,
5.0 out of 5 stars,Worked great!,"We wanted to watch the Super Bowl 2019, but CBS is out of range for our leaf antenna. This allowed us to stream the game at no charge!",,,
4.0 out of 5 stars,..,A lot buffering,,,
4.0 out of 5 stars,Four Stars,good,,,
1.0 out of 5 stars,Would never open,Didn't work,,,
1.0 out of 5 stars,Firesticks suck,You have to pay $ to watch,,,
3.0 out of 5 stars,Didn't have March Madness to stream to my fire stick streams there other sports.,Didn't have March Madness to stream to my fire stick streams there other sports.,,,
4.0 out of 5 stars,Good Channel to Watch Sports,"It’s free to watch the Super Bowl, but even with 100Mbps network speed, the image is not stable all the time. That’s why just 4 stars.",,,
1.0 out of 5 stars,Not what I expected,Not what I expected,,,
1.0 out of 5 stars,Face slap emoji,I can’t give an review on function because it didn’t work for me... currently I’m in The Bahamas and it refused to play 😑,,,
5.0 out of 5 stars,works good,nice to use sjhort term,,,
1.0 out of 5 stars,Only works if you can log in with your cable provider.,You still have to have cable so what's the point.,,,
5.0 out of 5 stars,works great and easy to use,works great and easy to use,,,
1.0 out of 5 stars,I would be happy to pay an additional fee for that but they ...,Don't bother. This won't stream live events. I would be happy to pay an additional fee for that but they don't offer it. All this comes with is replay videos that you can find anywhere else.,,,
4.0 out of 5 stars,Works as expected!,Works as expected!,,,
1.0 out of 5 stars,Only news,There’s no actual programming- it’s just sports news,,,
1.0 out of 5 stars,i really never use it,I downloaded for a friend,,,
1.0 out of 5 stars,Not as hoped for,Was hoping it had live sports but doesn’t,,,
5.0 out of 5 stars,Super Bowl view without network TV,Came right up without problems. Regretfully the game itself was pretty slow and had a very low score and the halftime show was disappointing.,,,
5.0 out of 5 stars,Great game,CBS Sports did a GREAT service to it's viewers with this live stream.,,,
5.0 out of 5 stars,Greatest app for NCAA sports watching from anywhere,I'm very grateful I'll be able to watch the Michigan-Ohio State football game from Nicaragua It had been mission impossible.,,,
1.0 out of 5 stars,Terrible quality,"For paid service, the picture quality is ridiculous",,,
5.0 out of 5 stars,The Super Bowl Game was free!,The picture and sound was perfect and the game was offered for free!  It doesn't get any better than that!,,,
4.0 out of 5 stars,It's Okay,"It has some quirks form time-to-time, but everything here is on the CBS All-Access app.",,,
4.0 out of 5 stars,It’s okay,The actual connection is spotty! Unfortunately Half the games you watch look liked they were filmed in 1980.,,,
3.0 out of 5 stars,What's the Price?,"Free Download but have not used.  Typical of downloads.  Never know what a monthly charge will be.  $12.99 per week, $5.00, free?  Who knows?  So many choices.  Could get out of hand.",,,
1.0 out of 5 stars,Wouldn’t load; other apps loaded fine,It would not load. I restarted the Fire Stick several times and this app still did not work. Other apps worked fine.,,,
5.0 out of 5 stars,Good,Good,,,
5.0 out of 5 stars,LOVE IT.,NO E,,,
5.0 out of 5 stars,Great app,"Easy to use, clear nice pic",,,
5.0 out of 5 stars,I'm glad that CBS has put it streaming online with my ...,I'm glad that CBS has put it streaming online with my Firestick. I no longer have cable and satellite and all the program I watch are on the Firestick. This is a plus to CBS. Thank you.,,,
3.0 out of 5 stars,Kept freezing during super bowl,The video would stop and had to load sometimes. It began to be annoying after a short time.,,,
1.0 out of 5 stars,not what you think,not what i thought,,,
